Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1067,1776,David McCullough,"McCullough, David",,0743226720,9780743226721,0,Simon  Schuster,Paperback,386,2006,2005,,8/11/2018,,,read,,,,1,0
2203,John Adams,David McCullough,"McCullough, David",,0743223136,9780743223133,0,Simon & Schuster Paperbacks,Paperback,751,2001,2001,,8/11/2018,,,read,,,,1,0
2367,Brave Companions: Portraits in History,David McCullough,"McCullough, David",,,,0,Simon Schuster,Paperback,240,1992,1991,,8/11/2018,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"Collins, Jim",,0066620996,9780066620992,0,Harper Business,Hardcover,300,2001,2001,,8/11/2018,,,read,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,1501135910,9781501135910,0,Scribner,Hardcover,400,2016,2016,,8/11/2018,,,read,,,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,0316017922,9780316017923,0,"Little, Brown and Company",Hardcover,309,2008,2008,,8/11/2018,,,read,,,,1,0
15751404,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"Gladwell, Malcolm",,0316204366,9780316204361,0,"Little, Brown and Company",Hardcover,305,2013,2013,,8/11/2018,,,read,,,,1,0
31572231,An Economic History of the World since 1400,Donald J. Harreld,"Harreld, Donald J.",,,,0,The Great Courses,Audible Audio,25,2016,2016,,8/11/2018,,,read,,,,1,0
5890,The Woman in White,Wilkie Collins,"Collins, Wilkie",Matthew Sweet,,,0,Penguin Classics,Paperback,672,2003,1859,,8/11/2018,,,read,,,,1,0
2279,Truman,David McCullough,"McCullough, David",,0671869205,9780671869205,0,Simon  Schuster,Paperback,1120,1993,1992,,8/11/2018,,,read,,,,1,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,,,0,Broadway Books,Kindle Edition,352,2018,2004,,8/11/2018,,,read,,,,1,0
45546,Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier,Stephen E. Ambrose,"Ambrose, Stephen E.",,074347788X,9780743477888,0,Simon & Schuster,Paperback,592,2003,1996,,8/11/2018,,,read,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,,,0,Carroll & Graf Publishers,Hardcover,282,1999,1959,,8/11/2018,,,read,,,,1,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,1443442313,9781443442312,0,Collins,Hardcover,277,2016,2016,,8/11/2018,,,read,,,,1,0
,,,,,,,,,,,,,,,,,,,,,,
